id,legacy_date_found,legacy_time_found,location,item_type,description,legacy_status,entered_by,updated_by,found_by,created_at,updated_at,image_url,legacy_claimed_by,where_found,date_found,datetime_found,claimed_by,purged,claimed
9022,,,doe south entrance,other ,black slippery jocket,,Jon Doe,Jon Doe,mainstack level 1,2024-11-21 10:27:57.673727,2024-11-21 10:27:57.673727,,,security,2024-11-21,2024-11-21 10:27:00,,f,f
9023,,,doe south entrance,cal1 id card,Cal ID Jon Doe,,Jon Doe,Jon Doe,patron,2024-11-21 21:40:15.072967,2024-11-21 22:12:13.935129,,,doe south,2024-11-21,2024-11-21 21:40:00,Jon Doe,f,t
9024,,,doe south entrance,earbuds/headphones,"white airpods, one earphone inside, dragon head on case",,Jon Doe,Jon Doe,Student,2024-11-21 23:53:30.871336,2024-12-04 19:09:51.932318,,,4th Floor Moffitt,2024-11-21,2024-11-21 23:53:00,,f,f
9025,,,doe south entrance,"electronic device accessories (including chargers, flash drives, dongles/docking stations, etc.)","White Apple USB-C charger , 20W block, USB-C to USB-C woven cord",,Jon Doe,Jon Doe,Circ SLE,2024-11-22 12:19:52.847147,2024-12-04 19:08:01.421172,,,moffitt 5th floor,2024-11-22,2024-11-22 12:15:00,,f,f
9026,,,moffitt 4th fl entrance,other,"Cal Alumni VISA debit card, navy blue base color, belongs to Jon Doe",,Jon Doe,Jon Doe,Student,2024-11-22 22:12:42.987384,2024-11-22 22:12:42.987384,,,4th Floor Moffitt,2024-11-21,2024-11-21 20:18:00,,f,f
9027,,,doe south entrance,"electronic device accessories (including chargers, flash drives, dongles/docking stations, etc.)",White USBC charger - international ,,Jon Doe,Jon Doe,security,2024-11-24 21:04:52.359212,2024-11-24 21:04:52.359212,,,Doe Reference Hall,2024-11-23,2024-11-23 20:56:00,,f,f
9028,,,doe south entrance,water bottles,black water bottle us bank,,Jon Doe,Jon Doe,security,2024-11-24 21:09:05.943553,2024-11-24 21:44:51.830592,,,Moffitt 4,2024-11-24,,N/a,f,f
9029,,,doe south entrance,water bottles,yeti blue water bottle,,Jon Doe,Jon Doe,security,2024-11-24 21:10:52.425515,2024-11-24 21:44:01.701335,,,Moff 4th Floor,2024-11-24,,,f,f
9030,,,doe south entrance,"electronic device accessories (including chargers, flash drives, dongles/docking stations, etc.)",casio blue calculator,,Jon Doe,Jon Doe,security,2024-11-24 21:12:45.632738,2024-11-24 21:54:52.414924,,,Moff 5th Floor,2024-11-24,,,f,f
9031,,,moffitt 4th fl entrance,other,white airpods pro max silicon case,,Jon Doe,Jon Doe,security,2024-11-24 21:14:07.89129,2024-11-24 21:14:07.89129,,,Moff 5th Floor,2024-11-24,,,f,f
